key,value
,
שרותי גלישה בטוחה- ר,תקשורת
,
מנורה בריאות/אלמנט ה,ביטוח
,
"זק""א ישראל",תרומה
,
אושר עד לוד,מזון
,
פז טירת יהודה (שוהם),דלק
,
עיתון מקור ראשון שות,תקשורת
,
קטוף שיווק תוצרת בדו,מזון
,
אנגלשטיין מתכות בע'',ציוד
,
אלנבי הקטנה,ביגוד
,
קונדיטוריית שמרים שמ,מזון
,
ארגון חסד שבלב,תרומה
,
"העברה ב BIT בנה""פ",בנק
,
ישיר ביטוח דירה,ביטוח
,
פנגו חשבונית חודשית,רכב
,
קו מנחה בורסה גרף,בורסה
,
ועד בית,ועד בית
,
אקסטרה ג'ים,כושר
,
"גזגל בע""מ",חשבונות
,
שלמה חב' לביטוח אלמנ,ביטוח
,
סופר פארם שוהם 49,מזון
,
חד פעמי-אור יהודה,חד פעמי
,
צרכניית מזל וברכה בע,מזון
,
כלמוביל ביטוח סוכנות,ביטוח
,
תחנת דלק גבעת כח,דלק
,
בטר אנד דיפרנט בעמ,מזון
,
שלמה ביטוח - חובה,ביטוח
,
מרכז הצדקה,תרומה
,
שמחת הלב-איגוד הליצנ,תרומה
,
ביטוח ישיר-חיים,ביטוח
,
כל בו לבניין  אמרוסי,ציוד
,
אינטרנט רימון ישראל,תקשורת
,
"זר תחנות דלק בע""מ",דלק
,
בר כל טוב אבטליון,מזון
,
דמי כרטיס הנחה,שונות
,
paybox,בנק
,
פנגו-חניה סלולארית,רכב
,
חסדי נעמי,תרומה
,
פעמי סנטר,חד פעמי
,
דריב  ספא רשת שטיפת,רכב
,
חסדי עולם - נווה צדק,תרומה
,
אסביט פתח תקווה-ח.בנ,ציוד
,
נתיב החסד-אבטליון,מזון
,
טיקצ'אק כרטיסים *565,תרבות
,
גולן טלקום,תקשורת
,
משתלת טל נוי,ציוד
,
זול בשפע אלעד עילית-,תקשורת
,
B בזק תשלום מזדמן,תקשורת
,
מ. התחבורה ר.רכב,רכב
,
פלאפון חשבון תקופתי,תקשורת
,
"שובע שמחות בע""מ שמאי",מזון
,
חצאית המנשה,ביגוד
,
ארגון רבני צהר,תרומה
,
מ.ל.א. הטנא (אלעד) ב,מזון
,
אגודת רפואה וחיים וי,תרומה
,
שפע ברכת השם,מזון
,
בלאק קפה גלובאל פארק,מסעדות
,
ביסטופ תחנת חדרה,מסעדות
,
מכון דוידסון-צמרת,מוסדות
,
,
קווים תחבורה ציבורית,תחבוורה
,
נפש לנפש - העצמה ויע,תרומה
,
פרטוש שלמה תעשיות בל,ציוד
,
"יופיי מרכז פסג""ה ר""ג",מוסדות
,
דרך ארץ הוראת קבע,תחבורה
